,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,44,100,1,43,1,11,0.34955,-0.5,remove,ru,2,"[1, 1]","[2, 0]",False,True
1,2,44,100,1,43,1,1,0.34955,-0.5,move,u,5,"[9, 7]","[9, 6]",False,True
0,1,44,100,1,43,2,6,0.44695000000000007,-0.3,move,ld,5,"[1, 1]","[0, 2]",False,True
1,2,44,100,1,43,2,14,0.44695000000000007,-0.083,remove,ld,2,"[9, 6]","[8, 7]",False,True
0,1,44,100,1,43,3,9,0.095,-0.083,remove,lu,1,"[0, 2]","[-1, 1]",False,True
1,2,44,100,1,43,3,5,0.095,-0.383,move,r,5,"[9, 6]","[10, 6]",False,True
0,1,44,100,1,43,4,16,0.08750000000000001,-0.567,remove,rd,2,"[0, 2]","[1, 3]",False,True
1,2,44,100,1,43,4,5,0.08750000000000001,0.583,move,r,1,"[10, 6]","[11, 6]",False,True
0,1,44,100,1,43,5,5,0.23565,0.283,move,r,5,"[0, 2]","[1, 2]",False,True
1,2,44,100,1,43,5,5,0.23565,-0.733,move,r,1,"[10, 6]","[11, 6]",False,True
0,1,44,100,1,43,6,5,0.26465,-0.167,move,r,5,"[1, 2]","[2, 2]",False,True
1,2,44,100,1,43,6,12,0.26465,-0.483,remove,l,5,"[10, 6]","[9, 6]",False,True
0,1,44,100,1,43,7,16,0.07665,-0.083,remove,rd,2,"[2, 2]","[3, 3]",False,True
1,2,44,100,1,43,7,8,0.07665,0.083,move,rd,1,"[10, 6]","[11, 7]",False,True
0,1,44,100,1,43,8,5,0.11720000000000001,0.117,move,r,5,"[2, 2]","[3, 2]",False,True
1,2,44,100,1,43,8,3,0.11720000000000001,-0.483,move,l,5,"[10, 6]","[9, 6]",False,True
0,1,44,100,1,43,9,8,0.1352,-0.417,move,rd,5,"[3, 2]","[4, 3]",False,True
1,2,44,100,1,43,9,2,0.1352,0.0,move,ru,5,"[9, 6]","[10, 5]",False,True
0,1,44,100,1,43,10,2,0.18815,0.167,move,ru,5,"[4, 3]","[5, 2]",False,True
1,2,44,100,1,43,10,16,0.18815,0.0,remove,rd,1,"[10, 5]","[11, 6]",False,True
0,1,44,100,1,43,11,13,0.19619999999999999,-0.167,remove,r,2,"[5, 2]","[6, 2]",False,True
1,2,44,100,1,43,11,12,0.19619999999999999,-0.233,remove,l,2,"[10, 5]","[9, 5]",False,True
0,1,44,100,1,43,12,11,0.04000000000000001,-0.383,remove,ru,2,"[5, 2]","[6, 1]",False,True
1,2,44,100,1,43,12,5,0.04000000000000001,-0.633,move,r,1,"[10, 5]","[11, 5]",False,True
0,1,44,100,1,43,13,7,0.6062000000000001,-0.467,move,d,5,"[5, 2]","[5, 3]",False,True
1,2,44,100,1,43,13,12,0.6062000000000001,0.017,remove,l,2,"[10, 5]","[9, 5]",False,True
0,1,44,100,1,43,14,0,0.06944999999999998,0.25,move,lu,5,"[5, 3]","[4, 2]",False,True
1,2,44,100,1,43,14,11,0.06944999999999998,-0.383,remove,ru,1,"[10, 5]","[11, 4]",False,True
0,1,44,100,1,43,15,5,0.58355,0.417,move,r,5,"[4, 2]","[5, 2]",False,True
1,2,44,100,1,43,15,10,0.58355,-0.317,remove,u,2,"[10, 5]","[10, 4]",False,True
0,1,44,100,1,43,16,12,0.06964999999999999,0.0,remove,l,5,"[5, 2]","[4, 2]",False,True
1,2,44,100,1,43,16,2,0.06964999999999999,-0.8,move,ru,1,"[10, 5]","[11, 4]",False,True
0,1,44,100,1,43,17,7,0.4950499999999999,-0.167,move,d,5,"[5, 2]","[5, 3]",False,True
1,2,44,100,1,43,17,0,0.4950499999999999,-0.4,move,lu,5,"[10, 5]","[9, 4]",False,True
0,1,44,100,1,43,18,11,0.09835000000000002,0.0,remove,ru,2,"[5, 3]","[6, 2]",False,True
1,2,44,100,1,43,18,11,0.09835000000000002,0.667,remove,ru,2,"[9, 4]","[10, 3]",False,True
0,1,44,100,1,43,19,8,0.1797,-0.55,move,rd,5,"[5, 3]","[6, 4]",False,True
1,2,44,100,1,43,19,8,0.1797,-0.8,move,rd,5,"[9, 4]","[10, 5]",False,True
0,1,44,100,1,43,20,12,0.05624999999999999,0.083,remove,l,2,"[6, 4]","[5, 4]",False,True
1,2,44,100,1,43,20,7,0.05624999999999999,-0.083,move,d,5,"[10, 5]","[10, 6]",False,True
0,1,44,100,1,43,21,9,0.14009999999999997,-0.05,remove,lu,5,"[6, 4]","[5, 3]",False,True
1,2,44,100,1,43,21,5,0.14009999999999997,0.167,move,r,1,"[10, 6]","[11, 6]",False,True
0,1,44,100,1,43,22,15,0.17049999999999998,-0.083,remove,d,2,"[6, 4]","[6, 5]",False,True
1,2,44,100,1,43,22,1,0.17049999999999998,-0.317,move,u,5,"[10, 6]","[10, 5]",False,True
0,1,44,100,1,43,23,3,0.09765,-0.967,move,l,5,"[6, 4]","[5, 4]",False,True
1,2,44,100,1,43,23,16,0.09765,0.083,remove,rd,1,"[10, 5]","[11, 6]",False,True
0,1,44,100,1,43,24,12,0.2975,0.833,remove,l,2,"[5, 4]","[4, 4]",False,True
1,2,44,100,1,43,24,0,0.2975,-0.483,move,lu,5,"[10, 5]","[9, 4]",False,True
0,1,44,100,1,43,25,15,0.14105000000000004,-0.3,remove,d,2,"[5, 4]","[5, 5]",False,True
1,2,44,100,1,43,25,7,0.14105000000000004,-0.25,move,d,5,"[9, 4]","[9, 5]",False,True
0,1,44,100,1,43,26,3,0.2601,-0.883,move,l,5,"[5, 4]","[4, 4]",False,True
1,2,44,100,1,43,26,9,0.2601,0.0,remove,lu,2,"[9, 5]","[8, 4]",False,True
0,1,44,100,1,43,27,2,0.15114999999999998,0.0,move,ru,5,"[4, 4]","[5, 3]",False,True
1,2,44,100,1,43,27,15,0.15114999999999998,0.2,remove,d,5,"[9, 5]","[9, 6]",False,True
0,1,44,100,1,43,28,5,0.15144999999999997,0.083,move,r,5,"[5, 3]","[6, 3]",False,True
1,2,44,100,1,43,28,12,0.15144999999999997,-0.417,remove,l,2,"[9, 5]","[8, 5]",False,True
0,1,44,100,1,43,29,5,0.28025000000000005,0.083,move,r,5,"[6, 3]","[7, 3]",False,True
1,2,44,100,1,43,29,10,0.28025000000000005,-0.133,remove,u,5,"[9, 5]","[9, 4]",False,True
0,1,44,100,1,43,30,10,0.9152500000000001,0.5,remove,u,2,"[7, 3]","[7, 2]",False,True
1,2,44,100,1,43,30,14,0.9152500000000001,-0.167,remove,ld,2,"[9, 5]","[8, 6]",False,True
0,1,44,100,1,43,31,5,0.3534,-0.55,move,r,5,"[7, 3]","[8, 3]",False,True
1,2,44,100,1,43,31,8,0.3534,-0.133,move,rd,5,"[9, 5]","[10, 6]",False,True
0,1,44,100,1,43,32,5,0.18024999999999997,0.417,move,r,5,"[8, 3]","[9, 3]",False,True
1,2,44,100,1,43,32,1,0.18024999999999997,0.0,move,u,5,"[10, 6]","[10, 5]",False,True
0,1,44,100,1,43,33,5,0.6501000000000001,-0.583,move,r,5,"[9, 3]","[10, 3]",False,True
1,2,44,100,1,43,33,16,0.6501000000000001,0.167,remove,rd,1,"[10, 5]","[11, 6]",False,True
0,1,44,100,1,43,34,16,0.6137000000000001,1.167,remove,rd,1,"[10, 3]","[11, 4]",False,True
1,2,44,100,1,43,34,9,0.6137000000000001,-0.567,remove,lu,2,"[10, 5]","[9, 4]",False,True
0,1,44,100,1,43,35,1,0.16299999999999998,-1.067,move,u,5,"[10, 3]","[10, 2]",False,True
1,2,44,100,1,43,35,14,0.16299999999999998,0.033,remove,ld,2,"[10, 5]","[9, 6]",False,True
0,1,44,100,1,43,36,5,1.2472500000000004,0.083,move,r,1,"[10, 2]","[11, 2]",False,True
1,2,44,100,1,43,36,15,1.2472500000000004,-0.55,remove,d,5,"[10, 5]","[10, 6]",False,True
0,1,44,100,1,43,37,16,0.34315,-0.4,remove,rd,1,"[10, 2]","[11, 3]",False,True
1,2,44,100,1,43,37,16,0.34315,-0.167,remove,rd,1,"[10, 5]","[11, 6]",False,True
0,1,44,100,1,43,38,14,0.35985000000000006,-0.483,remove,ld,5,"[10, 2]","[9, 3]",False,True
1,2,44,100,1,43,38,9,0.35985000000000006,-0.317,remove,lu,2,"[10, 5]","[9, 4]",False,True
0,1,44,100,1,43,39,14,0.27625,-0.167,remove,ld,2,"[10, 2]","[9, 3]",False,True
1,2,44,100,1,43,39,12,0.27625,-0.3,remove,l,5,"[10, 5]","[9, 5]",False,True
0,1,44,100,1,43,40,5,0.18245,-0.467,move,r,1,"[10, 2]","[11, 2]",False,True
1,2,44,100,1,43,40,9,0.18245,0.083,remove,lu,2,"[10, 5]","[9, 4]",False,True
0,1,44,100,1,43,41,14,0.14725,-0.817,remove,ld,2,"[10, 2]","[9, 3]",False,True
1,2,44,100,1,43,41,5,0.14725,-0.55,move,r,1,"[10, 5]","[11, 5]",False,True
0,1,44,100,1,43,42,14,0.1748,-0.3,remove,ld,2,"[10, 2]","[9, 3]",False,True
1,2,44,100,1,43,42,5,0.1748,-0.233,move,r,1,"[10, 5]","[11, 5]",False,True
0,1,44,100,1,43,43,1,0.20340000000000003,1.283,move,u,5,"[10, 2]","[10, 1]",False,True
1,2,44,100,1,43,43,7,0.20340000000000003,-0.4,move,d,5,"[10, 5]","[10, 6]",False,True
0,1,44,100,2,43,1,12,0.31055,-0.5,remove,l,2,"[5, 8]","[4, 8]",False,True
1,2,44,100,2,43,1,5,0.31055,-0.667,move,r,5,"[2, 1]","[3, 1]",False,True
0,1,44,100,2,43,2,5,0.05685,-0.217,move,r,5,"[5, 8]","[6, 8]",False,True
1,2,44,100,2,43,2,8,0.05685,-0.083,move,rd,5,"[3, 1]","[4, 2]",False,True
0,1,44,100,2,43,3,1,0.13620000000000002,0.0,move,u,5,"[6, 8]","[6, 7]",False,True
1,2,44,100,2,43,3,3,0.13620000000000002,0.5,move,l,5,"[4, 2]","[3, 2]",False,True
0,1,44,100,2,43,4,14,0.18065,-0.25,remove,ld,5,"[6, 7]","[5, 8]",False,True
1,2,44,100,2,43,4,4,0.18065,-0.333,move,z,5,"[3, 2]","[3, 2]",False,True
0,1,44,100,2,43,5,5,0.13874999999999998,0.083,move,r,5,"[6, 7]","[7, 7]",False,True
1,2,44,100,2,43,5,6,0.13874999999999998,0.583,move,ld,5,"[3, 2]","[2, 3]",False,True
0,1,44,100,2,43,6,8,0.17559999999999998,0.167,move,rd,1,"[7, 7]","[8, 8]",False,True
1,2,44,100,2,43,6,16,0.17559999999999998,-0.333,remove,rd,2,"[2, 3]","[3, 4]",False,True
0,1,44,100,2,43,7,16,0.2427,-0.317,remove,rd,1,"[7, 7]","[8, 8]",False,True
1,2,44,100,2,43,7,14,0.2427,0.117,remove,ld,2,"[2, 3]","[1, 4]",False,True
0,1,44,100,2,43,8,11,0.09759999999999999,-0.817,remove,ru,1,"[7, 7]","[8, 6]",False,True
1,2,44,100,2,43,8,1,0.09759999999999999,-0.633,move,u,5,"[2, 3]","[2, 2]",False,True
0,1,44,100,2,43,9,3,0.20369999999999994,0.1,move,l,5,"[7, 7]","[6, 7]",False,True
1,2,44,100,2,43,9,3,0.20369999999999994,-0.583,move,l,5,"[2, 2]","[1, 2]",False,True
0,1,44,100,2,43,10,6,0.18529999999999996,0.083,move,ld,5,"[6, 7]","[5, 8]",False,True
1,2,44,100,2,43,10,16,0.18529999999999996,0.583,remove,rd,5,"[1, 2]","[2, 3]",False,True
0,1,44,100,2,43,11,11,0.19139999999999996,-0.667,remove,ru,5,"[5, 8]","[6, 7]",False,True
1,2,44,100,2,43,11,9,0.19139999999999996,-0.25,remove,lu,2,"[1, 2]","[0, 1]",False,True
0,1,44,100,2,43,12,13,0.5936000000000001,0.0,remove,r,5,"[5, 8]","[6, 8]",False,True
1,2,44,100,2,43,12,5,0.5936000000000001,0.2,move,r,5,"[1, 2]","[2, 2]",False,True
0,1,44,100,2,43,13,2,0.18454999999999996,0.583,move,ru,5,"[5, 8]","[6, 7]",False,True
1,2,44,100,2,43,13,14,0.18454999999999996,-0.917,remove,ld,2,"[2, 2]","[1, 3]",False,True
0,1,44,100,2,43,14,12,0.31764999999999993,-0.583,remove,l,2,"[6, 7]","[5, 7]",False,True
1,2,44,100,2,43,14,2,0.31764999999999993,0.117,move,ru,5,"[2, 2]","[3, 1]",False,True
0,1,44,100,2,43,15,1,1.6044000000000005,0.367,move,u,5,"[6, 7]","[6, 6]",False,True
1,2,44,100,2,43,15,7,1.6044000000000005,-0.167,move,d,5,"[3, 1]","[3, 2]",False,True
0,1,44,100,2,43,16,5,0.2537,-0.333,move,r,5,"[6, 6]","[7, 6]",False,True
1,2,44,100,2,43,16,5,0.2537,0.583,move,r,5,"[3, 2]","[4, 2]",False,True
0,1,44,100,2,43,17,10,0.16870000000000002,0.0,remove,u,2,"[7, 6]","[7, 5]",False,True
1,2,44,100,2,43,17,2,0.16870000000000002,0.0,move,ru,5,"[4, 2]","[5, 1]",False,True
0,1,44,100,2,43,18,6,0.16134999999999997,-0.3,move,ld,5,"[7, 6]","[6, 7]",False,True
1,2,44,100,2,43,18,9,0.16134999999999997,-0.667,remove,lu,2,"[5, 1]","[4, 0]",False,True
0,1,44,100,2,43,19,14,0.9435499999999999,-0.083,remove,ld,5,"[6, 7]","[5, 8]",False,True
1,2,44,100,2,43,19,5,0.9435499999999999,0.2,move,r,5,"[5, 1]","[6, 1]",False,True
0,1,44,100,2,43,20,5,0.25834999999999997,0.083,move,r,5,"[6, 7]","[7, 7]",False,True
1,2,44,100,2,43,20,4,0.25834999999999997,-1.0,move,z,5,"[6, 1]","[6, 1]",False,True
0,1,44,100,2,43,21,3,0.48929999999999996,0.167,move,l,5,"[7, 7]","[6, 7]",False,True
1,2,44,100,2,43,21,7,0.48929999999999996,1.083,move,d,5,"[6, 1]","[6, 2]",False,True
0,1,44,100,2,43,22,7,0.5902499999999999,0.083,move,d,5,"[6, 7]","[6, 8]",False,True
1,2,44,100,2,43,22,16,0.5902499999999999,0.0,remove,rd,2,"[6, 2]","[7, 3]",False,True
0,1,44,100,2,43,23,1,0.277,-0.667,move,u,5,"[6, 8]","[6, 7]",False,True
1,2,44,100,2,43,23,15,0.277,0.117,remove,d,2,"[6, 2]","[6, 3]",False,True
0,1,44,100,2,43,24,9,1.0373,0.167,remove,lu,2,"[6, 7]","[5, 6]",False,True
1,2,44,100,2,43,24,8,1.0373,-0.55,move,rd,5,"[6, 2]","[7, 3]",False,True
0,1,44,100,2,43,25,1,0.22500000000000003,0.283,move,u,5,"[6, 7]","[6, 6]",False,True
1,2,44,100,2,43,25,0,0.22500000000000003,0.333,move,lu,5,"[7, 3]","[6, 2]",False,True
0,1,44,100,2,43,26,10,0.6073,-0.25,remove,u,2,"[6, 6]","[6, 5]",False,True
1,2,44,100,2,43,26,14,0.6073,-1.25,remove,ld,2,"[6, 2]","[5, 3]",False,True
0,1,44,100,2,43,27,5,0.26685,0.283,move,r,5,"[6, 6]","[7, 6]",False,True
1,2,44,100,2,43,27,15,0.26685,-0.217,remove,d,2,"[6, 2]","[6, 3]",False,True
0,1,44,100,2,43,28,7,0.26570000000000005,-0.167,move,d,5,"[7, 6]","[7, 7]",False,True
1,2,44,100,2,43,28,5,0.26570000000000005,0.533,move,r,5,"[6, 2]","[7, 2]",False,True
0,1,44,100,2,43,29,7,0.4732999999999999,-0.917,move,d,5,"[7, 7]","[7, 8]",False,True
1,2,44,100,2,43,29,5,0.4732999999999999,-0.5,move,r,1,"[7, 2]","[8, 2]",False,True
0,1,44,100,2,43,30,14,0.33714999999999995,0.667,remove,ld,2,"[7, 8]","[6, 9]",False,True
1,2,44,100,2,43,30,5,0.33714999999999995,-0.567,move,r,1,"[7, 2]","[8, 2]",False,True
0,1,44,100,2,43,31,2,0.21075,-0.717,move,ru,1,"[7, 8]","[8, 7]",False,True
1,2,44,100,2,43,31,1,0.21075,0.1,move,u,5,"[7, 2]","[7, 1]",False,True
0,1,44,100,2,43,32,12,0.31124999999999997,-0.067,remove,l,5,"[7, 8]","[6, 8]",False,True
1,2,44,100,2,43,32,7,0.31124999999999997,-0.5,move,d,5,"[7, 1]","[7, 2]",False,True
0,1,44,100,2,43,33,0,0.31275,-0.167,move,lu,5,"[7, 8]","[6, 7]",False,True
1,2,44,100,2,43,33,16,0.31275,0.25,remove,rd,1,"[7, 2]","[8, 3]",False,True
0,1,44,100,2,43,34,10,0.27035,0.417,remove,u,5,"[6, 7]","[6, 6]",False,True
1,2,44,100,2,43,34,5,0.27035,0.35,move,r,1,"[7, 2]","[8, 2]",False,True
0,1,44,100,2,43,35,4,0.32410000000000005,0.0,move,z,5,"[6, 7]","[6, 7]",False,True
1,2,44,100,2,43,35,11,0.32410000000000005,-1.317,remove,ru,1,"[7, 2]","[8, 1]",False,True
0,1,44,100,2,43,36,13,0.24445,0.0,remove,r,5,"[6, 7]","[7, 7]",False,True
1,2,44,100,2,43,36,11,0.24445,0.517,remove,ru,1,"[7, 2]","[8, 1]",False,True
0,1,44,100,2,43,37,1,0.1921,-0.5,move,u,5,"[6, 7]","[6, 6]",False,True
1,2,44,100,2,43,37,5,0.1921,-1.15,move,r,1,"[7, 2]","[8, 2]",False,True
0,1,44,100,2,43,38,15,0.28980000000000006,0.25,remove,d,5,"[6, 6]","[6, 7]",False,True
1,2,44,100,2,43,38,12,0.28980000000000006,-0.483,remove,l,5,"[7, 2]","[6, 2]",False,True
0,1,44,100,2,43,39,11,0.23259999999999997,0.0,remove,ru,2,"[6, 6]","[7, 5]",False,True
1,2,44,100,2,43,39,2,0.23259999999999997,0.083,move,ru,1,"[7, 2]","[8, 1]",False,True
0,1,44,100,2,43,40,7,0.17475000000000002,-0.467,move,d,5,"[6, 6]","[6, 7]",False,True
1,2,44,100,2,43,40,5,0.17475000000000002,-0.15,move,r,1,"[7, 2]","[8, 2]",False,True
